day,version,system,python_version,installer,downloads
2025-08-19,1.0.0,Linux,3.11.10,uv,2
2025-08-18,1.0.0,Windows,3.13.1,pip,2
2025-08-18,1.0.0,Linux,3.13.6,uv,1
2025-08-18,1.0.0,Linux,3.10.18,pip,20
2025-08-18,1.0.0,Darwin,3.9.22,pip,2
2025-08-18,1.0.0,Darwin,3.13.2,uv,3
2025-08-17,1.0.0,Windows,3.13.2,pip,2
2025-08-17,1.0.0,Linux,3.13.4,pip,7
2025-08-16,1.0.0,Linux,3.13.5,pip,2
2025-08-14,1.0.0,Windows,3.13.6,pip,2
2025-08-13,1.0.0,Linux,3.11.2,pip,1
2025-08-13,1.0.0,Windows,3.13.6,pip,2
2025-08-12,0.9.2,Linux,3.12.11,pip,2
2025-08-09,1.0.0,Windows,3.12.4,pip,2
2025-08-09,1.0.0,Windows,3.12.7,pip,2
2025-08-08,1.0.0,Linux,3.9.23,pip,1
2025-08-08,0.9.0,Linux,3.9.23,pip,1
2025-08-07,1.0.0,Darwin,3.12.9,uv,2
2025-08-07,1.0.0,Darwin,3.12.11,uv,2
2025-08-07,0.9.2,Darwin,3.12.9,uv,1
2025-08-06,0.9.2,Linux,3.12.11,pip,3
2025-08-04,0.9.2,Linux,3.10.12,pip,4
2025-08-04,0.9.2,Darwin,3.9.6,pip,1
2025-08-04,0.9.2,Darwin,3.10.4,pip,1
2025-08-03,1.0.0,Linux,3.11.8,pip,2
2025-08-03,1.0.0,Linux,3.12.3,pip,1
2025-08-01,1.0.0,Windows,3.12.5,pip,2
2025-08-01,1.0.0,Linux,3.12.3,pip,2
2025-08-01,0.9.2,Windows,2.7.18,pip,1
2025-07-30,1.0.0,Linux,3.13.3,pip,2
2025-07-29,1.0.0,Windows,3.12.4,pip,2
2025-07-29,1.0.0,Linux,3.12.3,pip,2
2025-07-29,1.0.0,Linux,3.12.11,pip,2
2025-07-28,1.0.0,Linux,3.12.3,pip,2
2025-07-26,1.0.0,Windows,3.13.5,pip,2
2025-07-25,1.0.0,Darwin,3.13.5,pip,2
2025-07-23,1.0.0,Windows,3.10.11,pip,2
2025-07-23,1.0.0,Windows,3.12.4,pip,2
2025-07-22,0.9.2,Darwin,3.13.5,pip,1
2025-07-22,0.9.2,Linux,3.12.11,pip,1
2025-07-21,1.0.0,Linux,3.10.18,pip,2
2025-07-19,1.0.0,Darwin,3.13.5,pip,2
2025-07-16,0.9.2,Linux,3.12.11,pip,2
2025-07-15,1.0.0,Windows,3.11.4,pip,2
2025-07-14,1.0.0,Linux,3.11.12,pip,8
2025-07-13,1.0.0,Linux,3.13.2,pip,2
2025-07-11,1.0.0,Linux,3.10.18,pip,2
2025-07-10,0.9.2,Linux,3.12.11,pip,1
2025-07-09,1.0.0,Linux,3.12.3,pip,2
2025-07-09,0.9.2,Linux,3.13.1,pip,1
2025-07-07,1.0.0,Linux,3.12.3,pip,2
2025-07-07,0.9.2,Linux,3.7.4,pip,1
2025-07-04,1.0.0,Windows,3.10.11,pip,2
2025-07-01,1.0.0,Windows,3.13.3,pip,2
2025-06-27,1.0.0,Windows,3.12.9,pip,2
2025-06-27,1.0.0,Windows,3.11.3,pip,1
2025-06-24,1.0.0,Linux,3.11.8,pip,2
2025-06-23,1.0.0,Windows,3.13.0,pip,2
2025-06-19,1.0.0,Windows,3.12.8,pip,2
